epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.386,2.00152,5.59308,1.77765,0.10995,0.02183,0.01291,0.00671,2.22795,4.13713,1.66605,5.56e-06,5.56e-06,5.56e-06
2,3.6496,2.10776,5.57603,1.89047,0.11391,0.02183,0.0115,0.00469,2.24138,4.12196,1.66782,1.66635e-05,1.66635e-05,1.66635e-05
3,5.02216,2.1332,5.30418,1.81425,0.11502,0.01389,0.01158,0.0047,2.23068,4.09739,1.67102,2.7745e-05,2.7745e-05,2.7745e-05
4,6.44836,1.95403,5.12916,1.77813,0.3284,0.0508,0.03959,0.02141,2.12275,3.41883,1.60488,3.88044e-05,3.88044e-05,3.88044e-05
5,9.45909,1.49816,3.9106,1.49174,0.88035,0.08135,0.15412,0.07796,2.07074,2.8852,1.61718,4.98418e-05,4.98418e-05,4.98418e-05
6,12.3434,1.46612,3.18021,1.43923,0.7221,0.20398,0.24421,0.13627,1.87653,3.38947,1.56282,6.08573e-05,6.08573e-05,6.08573e-05
7,15.2544,1.19571,2.34374,1.3092,0.81248,0.25665,0.31598,0.20907,1.69454,3.78401,1.48071,7.18507e-05,7.18507e-05,7.18507e-05
8,18.2565,1.25819,2.0821,1.30717,0.55239,0.37228,0.36646,0.25668,1.62334,3.04904,1.49673,8.2822e-05,8.2822e-05,8.2822e-05
9,21.0886,1.01347,1.47758,1.13081,0.65949,0.42891,0.45391,0.30944,1.48178,2.2367,1.31866,9.37714e-05,9.37714e-05,9.37714e-05
10,23.9373,0.99985,1.41283,1.13842,0.68901,0.56825,0.55756,0.37828,1.33671,1.69374,1.26037,0.000104699,0.000104699,0.000104699
11,26.7775,1.01834,1.29692,1.11947,0.59427,0.60095,0.56666,0.3953,1.27626,1.70268,1.186,0.000115604,0.000115604,0.000115604
12,29.933,0.8919,1.16464,1.04263,0.68083,0.61095,0.60147,0.38125,1.30352,1.56913,1.175,0.000126487,0.000126487,0.000126487
13,32.0347,0.78267,1.01161,1.02901,0.66933,0.65069,0.64664,0.41947,1.34009,1.65146,1.2346,0.000137349,0.000137349,0.000137349
14,34.7462,0.93297,1.0218,1.06093,0.73221,0.62437,0.66426,0.4294,1.20965,1.62091,1.16182,0.000148188,0.000148188,0.000148188
15,37.5225,0.83471,0.85459,1.00303,0.79155,0.55871,0.63006,0.40562,1.2269,1.66836,1.16511,0.000159005,0.000159005,0.000159005
16,39.6874,0.81108,0.86044,0.99284,0.73472,0.60022,0.63637,0.39596,1.47793,1.77214,1.31906,0.0001698,0.0001698,0.0001698
17,41.8681,0.83315,0.82678,0.99302,0.75321,0.67722,0.69781,0.43264,1.41337,1.91588,1.28015,0.000180574,0.000180574,0.000180574
18,45.0249,0.86726,0.80319,0.99825,0.78151,0.58261,0.69958,0.42822,1.41335,2.26908,1.2329,0.000191325,0.000191325,0.000191325
19,47.1793,0.81103,0.78195,0.98591,0.67317,0.71093,0.69466,0.43756,1.35583,2.3469,1.20363,0.000202054,0.000202054,0.000202054
20,49.9935,0.84532,0.74914,0.98117,0.72792,0.65839,0.69243,0.43948,1.40226,2.40219,1.32962,0.000212761,0.000212761,0.000212761
21,52.8016,0.77343,0.69771,0.97194,0.62879,0.71373,0.69227,0.44708,1.44232,2.21636,1.42956,0.000223446,0.000223446,0.000223446
22,55.6468,0.85569,0.75873,0.99006,0.61726,0.73038,0.71125,0.44855,1.4215,1.82432,1.47394,0.00023411,0.00023411,0.00023411
23,58.5301,0.79265,0.7035,0.98099,0.71104,0.64275,0.71527,0.4493,1.3974,1.54777,1.40864,0.000244751,0.000244751,0.000244751
24,61.608,0.70928,0.65495,0.94438,0.86633,0.60359,0.69787,0.46302,1.3068,1.72289,1.23688,0.00025537,0.00025537,0.00025537
25,64.4348,0.76018,0.65997,0.9555,0.63223,0.64788,0.72434,0.48674,1.17711,2.10514,1.16043,0.000265967,0.000265967,0.000265967
26,67.2564,0.65415,0.62119,0.90528,0.67583,0.71046,0.70998,0.4614,1.21796,1.95739,1.17866,0.000276542,0.000276542,0.000276542
27,69.4239,0.72141,0.60963,0.94168,0.68205,0.69378,0.73109,0.46333,1.39034,1.96452,1.43774,0.000287095,0.000287095,0.000287095
28,71.5831,0.73172,0.61231,0.92884,0.71701,0.62122,0.67904,0.44731,1.32932,1.87843,1.44333,0.000297626,0.000297626,0.000297626
29,73.7665,0.79207,0.64966,0.96676,0.66546,0.55575,0.64221,0.40713,1.30091,2.14496,1.25876,0.000308135,0.000308135,0.000308135
30,76.1512,0.78841,0.67323,0.97771,0.63578,0.56381,0.56579,0.35916,1.32238,2.54333,1.29403,0.000318622,0.000318622,0.000318622
31,78.2828,0.76375,0.67637,0.95607,0.74461,0.53731,0.61836,0.3741,1.35323,2.60845,1.38226,0.000329087,0.000329087,0.000329087
32,80.378,0.75557,0.63868,0.99648,0.77732,0.55814,0.62752,0.39173,1.40615,2.28209,1.40728,0.00033953,0.00033953,0.00033953
33,82.4715,0.76858,0.64081,0.95226,0.72398,0.56229,0.61035,0.385,1.42647,1.92511,1.48052,0.000349951,0.000349951,0.000349951
34,84.5551,0.72893,0.58896,0.91026,0.68813,0.58388,0.64889,0.40653,1.31101,2.07858,1.34684,0.00036035,0.00036035,0.00036035
35,86.6428,0.84041,0.67368,0.99683,0.62935,0.7243,0.66522,0.40535,1.296,2.49437,1.39801,0.000370727,0.000370727,0.000370727
36,88.9046,0.71853,0.60496,0.94316,0.74631,0.64384,0.69271,0.41273,1.43816,2.32628,1.42212,0.000381082,0.000381082,0.000381082
37,90.9621,0.76559,0.60373,0.94801,0.71483,0.62091,0.6767,0.43337,1.45508,2.5928,1.35025,0.000391414,0.000391414,0.000391414
38,93.0344,0.75646,0.63169,0.96373,0.55028,0.62512,0.56776,0.36466,1.50309,2.66341,1.50453,0.000401725,0.000401725,0.000401725
39,95.0881,0.83645,0.66703,0.99237,0.56396,0.53321,0.58613,0.35583,1.3783,3.63114,1.49953,0.000412014,0.000412014,0.000412014
40,97.1541,0.70717,0.591,0.94316,0.64406,0.4613,0.50744,0.31905,1.38317,2.96816,1.28286,0.000422281,0.000422281,0.000422281
41,99.2173,0.76013,0.64675,0.97281,0.54386,0.37503,0.40493,0.26262,1.5382,5.3087,1.38566,0.000432526,0.000432526,0.000432526
42,101.447,0.69836,0.56067,0.91489,0.57159,0.39298,0.44044,0.24624,1.53908,5.30331,1.43867,0.000442749,0.000442749,0.000442749
43,103.508,0.83064,0.63617,0.96424,0.58049,0.40725,0.43768,0.24291,1.44134,6.64216,1.46964,0.000452949,0.000452949,0.000452949
44,105.529,0.69308,0.59232,0.93288,0.62231,0.45571,0.5121,0.30231,1.44899,4.08747,1.38379,0.000463128,0.000463128,0.000463128
45,107.576,0.77395,0.57998,0.95091,0.61311,0.56554,0.51122,0.30701,1.50684,4.46401,1.4266,0.000473285,0.000473285,0.000473285
46,109.633,0.73343,0.64414,0.96847,0.59061,0.50331,0.57276,0.3505,1.52409,3.94139,1.43548,0.000483419,0.000483419,0.000483419
47,111.708,0.68003,0.55502,0.89614,0.53446,0.47436,0.51713,0.31398,1.47201,3.32618,1.51589,0.000493532,0.000493532,0.000493532
48,113.935,0.73761,0.60756,0.92464,0.57889,0.39446,0.38617,0.22865,1.52481,6.35971,1.49637,0.000503623,0.000503623,0.000503623
49,116.02,0.72713,0.59438,0.95754,0.65371,0.39369,0.41704,0.25004,1.60918,6.55979,1.80941,0.000513692,0.000513692,0.000513692
50,118.099,0.8122,0.67004,0.96875,0.50338,0.42437,0.38593,0.233,1.54488,13.2341,1.79253,0.000523738,0.000523738,0.000523738
51,120.181,0.76456,0.62423,0.95011,0.45247,0.51991,0.38957,0.21367,1.48943,10.1012,1.87138,0.000528478,0.000528478,0.000528478
